name,owner,url,totalPullRequests,closed,merged,processado
AndroidSwipeLayout,daimajia,https://github.com/daimajia/AndroidSwipeLayout,65,19,22,False
AndroidViewAnimations,daimajia,https://github.com/daimajia/AndroidViewAnimations,35,6,22,False
Sa-Token,dromara,https://github.com/dromara/Sa-Token,73,24,44,False
mall-learning,macrozheng,https://github.com/macrozheng/mall-learning,42,34,0,False
lombok,projectlombok,https://github.com/projectlombok/lombok,468,137,308,False
guice,google,https://github.com/google/guice,556,254,301,False
source-code-hunter,doocs,https://github.com/doocs/source-code-hunter,116,7,109,False
eureka,Netflix,https://github.com/Netflix/eureka,847,87,744,False
quarkus,quarkusio,https://github.com/quarkusio/quarkus,18292,1951,16198,False
Mybatis-PageHelper,pagehelper,https://github.com/pagehelper/Mybatis-PageHelper,61,25,30,False
spring-boot-admin,codecentric,https://github.com/codecentric/spring-boot-admin,884,251,630,False
VasSonic,Tencent,https://github.com/Tencent/VasSonic,115,43,70,False
DSA-Bootcamp-Java,kunal-kushwaha,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,827,368,230,False
uCrop,Yalantis,https://github.com/Yalantis/uCrop,200,70,104,False
realm-java,realm,https://github.com/realm/realm-java,3204,475,2696,False
neo4j,neo4j,https://github.com/neo4j/neo4j,9736,1800,7936,False
questdb,questdb,https://github.com/questdb/questdb,1996,268,1710,False
zookeeper,apache,https://github.com/apache/zookeeper,1992,1730,39,False
mit-deep-learning-book-pdf,janishar,https://github.com/janishar/mit-deep-learning-book-pdf,6,0,6,False
androidannotations,androidannotations,https://github.com/androidannotations/androidannotations,634,83,551,False
SlidingMenu,jfeinstein10,https://github.com/jfeinstein10/SlidingMenu,130,51,35,False
PermissionsDispatcher,permissions-dispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,301,37,260,False
onedev,theonedev,https://github.com/theonedev/onedev,52,45,7,False
fullstack-tutorial,frank-lam,https://github.com/frank-lam/fullstack-tutorial,28,1,26,False
jedis,redis,https://github.com/redis/jedis,1586,479,1053,False
Java,DuGuQiuBai,https://github.com/DuGuQiuBai/Java,23,5,0,False
FlycoTabLayout,H07000223,https://github.com/H07000223/FlycoTabLayout,24,9,0,False
vlayout,alibaba,https://github.com/alibaba/vlayout,23,6,13,False
dex2jar,pxb1988,https://github.com/pxb1988/dex2jar,26,9,11,False
webmagic,code4craft,https://github.com/code4craft/webmagic,200,61,109,False
FileDownloader,lingochamp,https://github.com/lingochamp/FileDownloader,67,22,36,False
zaproxy,zaproxy,https://github.com/zaproxy/zaproxy,3174,168,2982,False
matrix,Tencent,https://github.com/Tencent/matrix,238,47,166,False
ImmersionBar,gyf-dev,https://github.com/gyf-dev/ImmersionBar,12,11,1,False
interview,mission-peace,https://github.com/mission-peace/interview,232,47,72,False
android-async-http,android-async-http,https://github.com/android-async-http/android-async-http,287,121,165,False
CtCI-6th-Edition,careercup,https://github.com/careercup/CtCI-6th-Edition,180,45,42,False
dataease,dataease,https://github.com/dataease/dataease,3100,98,3001,False
grpc-java,grpc,https://github.com/grpc/grpc-java,6993,939,6007,False
okhttp-OkGo,jeasonlzy,https://github.com/jeasonlzy/okhttp-OkGo,19,7,5,False
SmarterStreaming,daniulive,https://github.com/daniulive/SmarterStreaming,1,1,0,False
